,INTERVAL GAUSS-SEIDEL METHOD,INTERVAL TOOLS,GLOBAL UNCONSTRAINED OPTIMIZATION,INFORMATION PROPAGATION,VALIDATED SOLVER,BISECTIONS,SOCIAL RELATIONSHIPS,TERMINATION CRITERIA,SOFTWARE PACKAGES,GLOBAL CONSTRAINED OPTIMIZATION,ACCELERATING DEVICES,INTERVAL NEWTON METHOD,LARGE-SCALE NETWORK
NEDIALKOV N.,0,1,0,0,1,0,0,0,1,0,0,0,0
WALLACE W.,0,0,0,1,0,0,1,0,0,0,0,0,1
RATSCHEK H.,1,1,1,0,0,1,0,1,0,1,1,1,0
ROKNE J.,1,2,2,0,0,1,0,1,0,2,1,1,0
LANCASTER P.,0,1,1,0,0,0,0,0,0,1,0,0,0
HUI C.,0,0,0,1,0,0,1,0,0,0,0,0,1
MAGDON-ISMAIL M.,0,0,0,1,0,0,1,0,0,0,0,0,1
