,NEDIALKOV N.,WALLACE W.,RATSCHEK H.,ROKNE J.,LANCASTER P.,HUI C.,MAGDON-ISMAIL M.
NEDIALKOV N.,0,0,0,0,0,0,0
WALLACE W.,0,0,0,0,0,1,1
RATSCHEK H.,0,0,0,1,0,0,0
ROKNE J.,0,0,1,0,1,0,0
LANCASTER P.,0,0,0,1,0,0,0
HUI C.,0,1,0,0,0,0,1
MAGDON-ISMAIL M.,0,1,0,0,0,1,0
